Hand,RAISE 25,FOLD,RAISE 25 EV,FOLD EV
3c2c,99.999994,0.00000596,3.4709883,0.0000048
3c2d,0,100,-17.8090668,0
3c2h,0,100,-17.8090668,0
3c2s,0,100,-17.8090668,0
4c2c,99.999994,0.00000596,10.3489828,0.0000048
4c3c,100,0,31.5053093,0.0000048
4c2d,0,100,-10.8360195,0
4c3d,3.77680808,96.2231934,-0.095706,0
4c2h,0,100,-10.8360195,0
4c3h,3.77680808,96.2231934,-0.095706,0
4c2s,0,100,-10.8360195,0
4c3s,3.77680808,96.2231934,-0.095706,0
5c2c,100,0,11.244514,0.0000048
5c3c,100,0,39.4167256,0.0000048
5c4c,100,0,62.169795,0.0000048
5c2d,0,100,-9.584837,0
5c3d,0,100,-3.8917017,0
5c4d,99.999994,0.00000596,6.4130449,0
5c2h,0,100,-9.584837,0
5c3h,0,100,-3.8917017,0
5c4h,99.999994,0.00000596,6.4130449,0
5c2s,0,100,-9.584837,0
5c3s,0,100,-3.8917017,0
5c4s,99.999994,0.00000596,6.4130449,0
6c2c,99.999994,0.00000596,9.8524475,0.0000048
6c3c,100,0,15.3222775,0.0000048
6c4c,100,0,29.2826939,0.0000048
6c5c,100,0,50.727926,0.0000048
6c2d,0,100,-16.4447641,0
6c3d,0,100,-7.7772093,0
6c4d,78.395015,21.604985,0.0302935,0
6c5d,100,0,5.2257156,0
6c2h,0,100,-16.4447641,0
6c3h,0,100,-7.7772093,0
6c4h,78.395015,21.604985,0.0302935,0
6c5h,100,0,5.2257156,0
6c2s,0,100,-16.4447641,0
6c3s,0,100,-7.7772093,0
6c4s,78.395015,21.604985,0.0302935,0
6c5s,100,0,5.2257156,0
7c2c,100,0,3.408041,0.0000048
7c3c,100,0,9.9354267,0.0000048
7c4c,100,0,30.1366365,0.0000048
7c5c,100,0,38.2743394,0.0000048
7c6c,100,0,64.6696675,0.0000048
7c2d,0,100,-21.4783955,0
7c3d,0,100,-9.1960192,0
7c4d,99.1724968,0.8275032,0.2228022,0
7c5d,100,0,5.596981,0
7c6d,100,0,15.6919479,0
7c2h,0,100,-21.4783955,0
7c3h,0,100,-9.1960192,0
7c4h,99.1724968,0.8275032,0.2228022,0
7c5h,100,0,5.596981,0
7c6h,100,0,15.6919479,0
7c2s,0,100,-21.4783955,0
7c3s,0,100,-9.1960192,0
7c4s,99.1724968,0.8275032,0.2228022,0
7c5s,100,0,5.596981,0
7c6s,100,0,15.6919479,0
8c2c,100,0,3.6322212,0.0000048
8c3c,99.999994,0.00000596,7.0043087,0.0000048
8c4c,100,0,20.1307797,0.0000048
8c5c,100,0,25.3734231,0.0000048
8c6c,100,0,50.2055187,0.0000048
8c7c,100,0,81.7946434,0.0000048
8c2d,0,100,-15.4783487,0
8c3d,0,100,-10.8738708,0
8c4d,0,100,-1.5542746,0
8c5d,100,0,2.6969719,0
8c6d,99.999994,0.00000596,13.4356475,0
8c7d,100,0,27.1990442,0
8c2h,0,100,-15.4783487,0
8c3h,0,100,-10.8738708,0
8c4h,0,100,-1.5542746,0
8c5h,100,0,2.6969719,0
8c6h,99.999994,0.00000596,13.4356475,0
8c7h,100,0,27.1990442,0
8c2s,0,100,-15.4783487,0
8c3s,0,100,-10.8738708,0
8c4s,0,100,-1.5542746,0
8c5s,100,0,2.6969719,0
8c6s,99.999994,0.00000596,13.4356475,0
8c7s,100,0,27.1990442,0
9c2c,100,0,8.8905048,0.0000048
9c3c,100,0,17.533915,0.0000048
9c4c,100,0,12.9721856,0.0000048
9c5c,100,0,24.9430752,0.0000048
9c6c,100,0,31.5664208,0.0000048
9c7c,100,0,64.9889183,0.0000048
9c8c,100,0,93.3234406,0.0000048
9c2d,0,100,-8.2277679,0
9c3d,0,100,-5.7227278,0
9c4d,0,100,-3.6865044,0
9c5d,94.4932938,5.50670624,0.1127768,0
9c6d,100,0,12.6843858,0
9c7d,100,0,28.975234,0
9c8d,100,0,36.3129175,0
9c2h,0,100,-8.2277679,0
9c3h,0,100,-5.7227278,0
9c4h,0,100,-3.6865044,0
9c5h,94.4932938,5.50670624,0.1127768,0
9c6h,100,0,12.6843858,0
9c7h,100,0,28.975234,0
9c8h,100,0,36.3129175,0
9c2s,0,100,-8.2277679,0
9c3s,0,100,-5.7227278,0
9c4s,0,100,-3.6865044,0
9c5s,94.4932938,5.50670624,0.1127768,0
9c6s,100,0,12.6843858,0
9c7s,100,0,28.975234,0
9c8s,100,0,36.3129175,0
Tc2c,100,0,15.4364562,0.0000048
Tc3c,100,0,18.9479041,0.0000048
Tc4c,100,0,21.2650132,0.0000048
Tc5c,100,0,24.5857501,0.0000048
Tc6c,100,0,41.5995169,0.0000048
Tc7c,100,0,55.9206891,0.0000048
Tc8c,100,0,95.3556585,0.0000048
Tc9c,100,0,104.240646,0.0000048
Tc2d,0,100,-5.0505924,0
Tc3d,0,100,-2.1456671,0
Tc4d,21.0858837,78.9141178,-0.0494719,0
Tc5d,98.8170683,1.18293166,0.594306,0
Tc6d,99.999994,0.00000596,11.8027735,0
Tc7d,100,0,23.3962512,0
Tc8d,100,0,33.8298595,0
Tc9d,100,0,44.7888827,0
Tc2h,0,100,-5.0505924,0
Tc3h,0,100,-2.1456671,0
Tc4h,21.0858837,78.9141178,-0.0494719,0
Tc5h,98.8170683,1.18293166,0.594306,0
Tc6h,99.999994,0.00000596,11.8027735,0
Tc7h,100,0,23.3962512,0
Tc8h,100,0,33.8298595,0
Tc9h,100,0,44.7888827,0
Tc2s,0,100,-5.0505924,0
Tc3s,0,100,-2.1456671,0
Tc4s,21.0858837,78.9141178,-0.0494719,0
Tc5s,98.8170683,1.18293166,0.594306,0
Tc6s,99.999994,0.00000596,11.8027735,0
Tc7s,100,0,23.3962512,0
Tc8s,100,0,33.8298595,0
Tc9s,100,0,44.7888827,0
Jc2c,100,0,20.4616356,0.0000048
